suite,concept,scale,declarative_score,declarative_pct
gpt2,cognitive disabilities,1.5B,2.0,100.0
gpt2,color contrast,124M,1.0,50.0
gpt2,color contrast,355M,2.0,100.0
gpt2,color contrast,774M,2.0,100.0
gpt2,color contrast,1.5B,2.0,100.0
gpt2,combo box,124M,1.0,50.0
gpt2,combo box,355M,1.0,50.0
gpt2,combo box,774M,1.0,50.0
gpt2,combo box,1.5B,1.0,50.0
gpt2,consistent help,124M,0.0,0.0
gpt2,consistent help,355M,1.0,50.0
gpt2,consistent help,774M,0.0,0.0
gpt2,consistent help,1.5B,0.0,0.0
gpt2,decorative image,124M,2.0,100.0
gpt2,decorative image,355M,2.0,100.0
gpt2,decorative image,774M,2.0,100.0
gpt2,decorative image,1.5B,1.0,50.0
gpt2,drag movement,124M,1.0,50.0
gpt2,drag movement,355M,1.0,50.0
gpt2,drag movement,774M,1.0,50.0
gpt2,drag movement,1.5B,1.0,50.0
gpt2,error identification,124M,0.0,0.0
gpt2,error identification,355M,0.0,0.0
gpt2,error identification,774M,0.0,0.0
gpt2,error identification,1.5B,2.0,100.0
gpt2,focus appearance,124M,0.0,0.0
gpt2,focus appearance,355M,0.0,0.0
gpt2,focus appearance,774M,0.0,0.0
gpt2,focus appearance,1.5B,0.0,0.0
gpt2,focus indicator,124M,2.0,100.0
gpt2,focus indicator,355M,1.0,50.0
gpt2,focus indicator,774M,2.0,100.0
gpt2,focus indicator,1.5B,0.0,0.0
gpt2,focus management,124M,1.0,50.0
gpt2,focus management,355M,1.0,50.0
gpt2,focus management,774M,1.0,50.0
gpt2,focus management,1.5B,1.0,50.0
gpt2,form field,124M,2.0,100.0
gpt2,form field,355M,2.0,100.0
gpt2,form field,774M,2.0,100.0
gpt2,form field,1.5B,2.0,100.0
gpt2,informative image,124M,0.0,0.0
gpt2,informative image,355M,0.0,0.0
gpt2,informative image,774M,0.0,0.0
gpt2,informative image,1.5B,0.0,0.0
gpt2,input purpose,124M,0.0,0.0
gpt2,input purpose,355M,0.0,0.0
gpt2,input purpose,774M,0.0,0.0
gpt2,input purpose,1.5B,0.0,0.0
gpt2,keyboard interaction,124M,1.0,50.0
gpt2,keyboard interaction,355M,1.0,50.0
gpt2,keyboard interaction,774M,1.0,50.0
gpt2,keyboard interaction,1.5B,1.0,50.0
gpt2,keyboard navigation,124M,1.0,50.0
gpt2,keyboard navigation,355M,2.0,100.0
gpt2,keyboard navigation,774M,1.0,50.0
gpt2,keyboard navigation,1.5B,2.0,100.0
gpt2,landmark region,124M,0.0,0.0
gpt2,landmark region,355M,0.0,0.0
gpt2,landmark region,774M,0.0,0.0
gpt2,landmark region,1.5B,0.0,0.0
gpt2,live region,124M,1.0,50.0
gpt2,live region,355M,1.0,50.0
gpt2,live region,774M,1.0,50.0
gpt2,live region,1.5B,1.0,50.0
gpt2,low vision,124M,1.0,50.0
gpt2,low vision,355M,1.0,50.0
gpt2,low vision,774M,1.0,50.0
