condition,family,model,layer,head,selection_rho,selection_p,n_selection,selection_p_fdr
uniform,gpt2,gpt2-large,31,7,-0.06521739130434781,0.7620689398781239,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,17,-0.06521739130434781,0.7620689398781239,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,17,-0.06173913043478261,0.7744295754905792,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,7,-0.05739130434782608,0.7899551413098405,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,10,-0.05739130434782608,0.7899551413098405,24,0.9486880446319079
uniform,gpt2,gpt2-large,33,19,-0.05652173913043478,0.7930697839291404,24,0.9486880446319079
uniform,gpt2,gpt2-large,27,16,-0.05652173913043478,0.7930697839291404,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,3,-0.05565217391304347,0.7961874995255512,24,0.9486880446319079
uniform,gpt2,gpt2-large,26,3,-0.05565217391304347,0.7961874995255512,24,0.9486880446319079
uniform,gpt2,gpt2-large,34,6,-0.05565217391304347,0.7961874995255512,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,17,-0.054782608695652164,0.799308243488264,24,0.9486880446319079
uniform,gpt2,gpt2-large,24,12,-0.05391304347826086,0.8024319710844887,24,0.9486880446319079
uniform,gpt2,gpt2-large,31,2,-0.05217391304347826,0.8086881976469138,24,0.9513978795846044
uniform,gpt2,gpt2-large,26,6,-0.047826086956521734,0.8243778236378612,24,0.9548351490748377
uniform,gpt2,gpt2-large,27,5,-0.04521739130434782,0.8338234219848106,24,0.957500580269639
uniform,gpt2,gpt2-large,32,4,-0.042608695652173914,0.8432913759776879,24,0.9599416094257988
uniform,gpt2,gpt2-large,26,13,-0.041739130434782605,0.8464521133997217,24,0.9599416094257988
uniform,gpt2,gpt2-large,24,4,-0.03913043478260869,0.8559479350713372,24,0.9599416094257988
uniform,gpt2,gpt2-large,31,9,-0.03913043478260869,0.8559479350713372,24,0.9599416094257988
uniform,gpt2,gpt2-large,24,5,-0.03913043478260869,0.8559479350713372,24,0.9599416094257988
uniform,gpt2,gpt2-large,28,5,-0.03652173913043478,0.8654631927363388,24,0.9651544958051274
uniform,gpt2,gpt2-large,34,16,-0.03565217391304347,0.8686390462246146,24,0.9651544958051274
uniform,gpt2,gpt2-large,29,1,-0.03304347826086956,0.8781782520387229,24,0.9668017453637316
uniform,gpt2,gpt2-large,25,11,-0.03304347826086956,0.8781782520387229,24,0.9668017453637316
uniform,gpt2,gpt2-large,25,7,-0.03130434782608695,0.8845469556552951,24,0.967517760409091
uniform,gpt2,gpt2-large,33,5,-0.02434782608695652,0.9100874200789536,24,0.9785213334932301
uniform,gpt2,gpt2-large,30,6,-0.023478260869565212,0.9132865779270147,24,0.9785213334932301
uniform,gpt2,gpt2-large,26,4,-0.020869565217391303,0.92289170312162,24,0.9791321254894848
uniform,gpt2,gpt2-large,26,2,-0.02,0.9260958020254711,24,0.9791321254894848
uniform,gpt2,gpt2-large,27,4,-0.02,0.9260958020254711,24,0.9791321254894848
uniform,gpt2,gpt2-large,24,3,-0.01826086956521739,0.9325072970015154,24,0.9815866284226477
uniform,gpt2,gpt2-large,28,3,-0.014782608695652172,0.9453421257736343,24,0.9864439573290097
uniform,gpt2,gpt2-large,28,2,-0.009565217391304347,0.9646181660759277,24,0.9912607264914097
uniform,gpt2,gpt2-large,25,14,-0.007826086956521738,0.9710483085120961,24,0.9912607264914097
uniform,gpt2,gpt2-large,31,0,-0.006956521739130434,0.9742640605332524,24,0.9912607264914097
uniform,gpt2,gpt2-large,25,10,-0.0008695652173913043,0.9967824967252694,24,0.9967824967252693
uniform,gpt2,gpt2-large,33,1,0.003478260869565217,0.9871304734643621,24,0.9912607264914097
uniform,gpt2,gpt2-large,28,17,0.003478260869565217,0.9871304734643621,24,0.9912607264914097
uniform,gpt2,gpt2-large,30,2,0.004347826086956522,0.9839134567350358,24,0.9912607264914097
uniform,gpt2,gpt2-large,29,8,0.005217391304347826,0.9806966832535792,24,0.9912607264914097
uniform,gpt2,gpt2-large,24,11,0.011304347826086955,0.9581901628011082,24,0.9912312028976982
