family,model,layer,head,n_compounds,relative_layer_depth,rho,p_two_sided,q_bh_within_model,bootstrap_ci_low,bootstrap_ci_high,bootstrap_negative_fraction,bootstrap_valid_resamples,upper_tail_compound_count
olmo,OLMo-2-1124-7B,22,11,49,0.71875,0.18540816326530613,0.20215190096423588,0.49676944510648763,-0.11352405161538145,0.4566785738411823,0.118,2000,0
olmo,OLMo-2-1124-7B,22,12,49,0.71875,-0.09887755102040817,0.4990823566889169,0.717449965932256,-0.3563234509547253,0.18978992143710635,0.7685,2000,0
olmo,OLMo-2-1124-7B,22,13,49,0.71875,-0.004795918367346939,0.9739098872457992,0.9831267000588508,-0.3050483880453297,0.3172047365864498,0.515,2000,9
olmo,OLMo-2-1124-7B,22,14,49,0.71875,-0.21040816326530612,0.14674187487359916,0.4371711027501106,-0.4900960661529797,0.10591679751681364,0.912,2000,0
olmo,OLMo-2-1124-7B,22,15,49,0.71875,-0.21744897959183673,0.13338860017322077,0.4371711027501106,-0.48779154605519903,0.07450177737554578,0.9345,2000,0
olmo,OLMo-2-1124-7B,22,16,49,0.71875,-0.18244897959183673,0.20957460965429947,0.49676944510648763,-0.4695182988538737,0.14387288209203195,0.8725,2000,0
olmo,OLMo-2-1124-7B,22,17,49,0.71875,0.13071428571428573,0.3706649634698281,0.6342929856168181,-0.20230483061388493,0.4406683631452514,0.206,2000,0
olmo,OLMo-2-1124-7B,22,18,49,0.71875,-0.3572448979591837,0.01173809692020659,0.1788662387841004,-0.6000066526687641,-0.07266903826981777,0.993,2000,0
olmo,OLMo-2-1124-7B,22,19,49,0.71875,0.08204081632653061,0.5752022142425337,0.768189275148735,-0.20285560128467817,0.3545377956644292,0.283,2000,0
olmo,OLMo-2-1124-7B,22,20,49,0.71875,-0.2645918367346939,0.06617676679707149,0.3025223625008982,-0.5212893335527966,0.013789497998212384,0.965,2000,0
olmo,OLMo-2-1124-7B,22,21,49,0.71875,-0.17265306122448978,0.2355016061811957,0.5187990511858299,-0.4474875933928043,0.1368363850930783,0.864,2000,0
olmo,OLMo-2-1124-7B,22,22,49,0.71875,-0.14051020408163264,0.3355632025646776,0.6079675560551724,-0.43568122467813847,0.169258843790704,0.804,2000,5
olmo,OLMo-2-1124-7B,22,23,49,0.71875,0.21979591836734694,0.12914618033071906,0.4371711027501106,-0.06396320569581752,0.46006261655175146,0.063,2000,0
olmo,OLMo-2-1124-7B,22,24,49,0.71875,-0.4933673469387755,0.00031576371287021603,0.020208877623693826,-0.667863369603147,-0.26229031020442334,1.0,2000,32
olmo,OLMo-2-1124-7B,22,25,49,0.71875,-0.2957142857142857,0.03911731812978438,0.24072195772175006,-0.5585657990842389,0.01377019482341813,0.9685,2000,0
olmo,OLMo-2-1124-7B,22,26,49,0.71875,-0.30142857142857143,0.035312413035351486,0.22599944342624953,-0.5719542734796604,0.020714751065045525,0.9685,2000,1
olmo,OLMo-2-1124-7B,22,27,49,0.71875,-0.1826530612244898,0.20905665081751335,0.49676944510648763,-0.4423780126220174,0.1139194524605472,0.884,2000,1
olmo,OLMo-2-1124-7B,22,28,49,0.71875,-0.27979591836734696,0.05152339187592382,0.25240123823314087,-0.5415798841209769,0.028849388970566717,0.9625,2000,0
olmo,OLMo-2-1124-7B,22,29,49,0.71875,-0.030510204081632655,0.8351458935004011,0.9059209692207741,-0.33162740449638095,0.27048823862068505,0.5995,2000,17
olmo,OLMo-2-1124-7B,22,30,49,0.71875,0.3028571428571429,0.03441052372029923,0.22599944342624953,0.007299445110758407,0.5706168650966246,0.023,2000,0
olmo,OLMo-2-1124-7B,22,31,49,0.71875,-0.3813265306122449,0.006864248215064702,0.12203107937892804,-0.6098472450959014,-0.08003271649115644,0.9925,2000,0
olmo,OLMo-2-1124-7B,23,0,49,0.75,-0.1116326530612245,0.4450774562180575,0.6807680636967964,-0.41360063922011486,0.20522224310543866,0.76,2000,0
olmo,OLMo-2-1124-7B,23,1,49,0.75,-0.21142857142857144,0.14474761419103335,0.4371711027501106,-0.4791584489816792,0.12516315602458025,0.8915,2000,2
olmo,OLMo-2-1124-7B,23,2,49,0.75,0.1683673469387755,0.24750758024131625,0.5269875334585133,-0.10536863350230738,0.39962853229880874,0.125,2000,0
olmo,OLMo-2-1124-7B,23,3,49,0.75,0.17448979591836736,0.23048037038696956,0.5157602693974145,-0.10297241092075318,0.4305310690197449,0.1075,2000,0
olmo,OLMo-2-1124-7B,23,4,49,0.75,0.1783673469387755,0.22012310227855097,0.5088589756454837,-0.12528678926385522,0.467071917459589,0.1255,2000,0
olmo,OLMo-2-1124-7B,23,5,49,0.75,0.1236734693877551,0.39720546965541204,0.6497810985323206,-0.16798433077824385,0.3866569652385738,0.197,2000,0
olmo,OLMo-2-1124-7B,23,6,49,0.75,-0.4552040816326531,0.001014963094992091,0.04059852379968364,-0.6813226699483516,-0.17207561145087244,0.999,2000,0
olmo,OLMo-2-1124-7B,23,7,49,0.75,-0.08081632653061224,0.5809384337297814,0.768189275148735,-0.3770293060386323,0.2045541464424877,0.696,2000,0
olmo,OLMo-2-1124-7B,23,8,49,0.75,0.045714285714285714,0.7551148352966084,0.8641993273221253,-0.2421147661279428,0.32483481497749195,0.3745,2000,0
olmo,OLMo-2-1124-7B,23,9,49,0.75,-0.04561224489795918,0.7556445677556098,0.8641993273221253,-0.34237013635150737,0.269985789181197,0.6135,2000,0
olmo,OLMo-2-1124-7B,23,10,49,0.75,-0.10612244897959183,0.4680023121030553,0.6965615808045474,-0.3702497483009741,0.1908383818035292,0.754,2000,0
olmo,OLMo-2-1124-7B,23,11,49,0.75,-0.3454081632653061,0.01506670989594049,0.2024246087766841,-0.5844449688064404,-0.054196293881027785,0.9895,2000,10
olmo,OLMo-2-1124-7B,23,12,49,0.75,-0.28438775510204084,0.04765574500297457,0.25240123823314087,-0.556524841705162,0.03142003889473041,0.958,2000,3
olmo,OLMo-2-1124-7B,23,13,49,0.75,-0.5514285714285714,4.017273863179715e-05,0.0064276381810875445,-0.7204434645118339,-0.3139379448337236,1.0,2000,0
olmo,OLMo-2-1124-7B,23,14,49,0.75,0.07551020408163266,0.6060895093109346,0.7871155397282109,-0.19920615113004048,0.3475521825776167,0.297,2000,0
olmo,OLMo-2-1124-7B,23,15,49,0.75,-0.11744897959183674,0.42156663992660415,0.6678283404777888,-0.42444278770385235,0.2305595847111361,0.7465,2000,0
olmo,OLMo-2-1124-7B,23,16,49,0.75,0.1493877551020408,0.3056077496040412,0.5827466561523543,-0.17869462356473154,0.45390744820798007,0.181,2000,0
